observation_id,merchant_id,timestamp,hour,zomato_orders_count,other_platform_orders_count,dine_in_orders_count,total_kitchen_load,kitchen_capacity,utilization_rate,observable_load_ratio
OBS00000000,M000695,2026-02-24 21:20:00,21,1,1,0,2,5,0.4,0.5
OBS00000001,M000320,2026-01-18 03:31:00,3,0,0,0,0,34,0.0,0.0
OBS00000002,M000811,2026-01-07 07:24:00,7,0,0,0,0,21,0.0,0.0
OBS00000003,M000035,2026-02-08 05:40:00,5,2,2,0,4,30,0.133,0.5
OBS00000004,M000967,2026-01-09 04:33:00,4,1,0,0,1,16,0.062,1.0
OBS00000005,M000805,2026-01-02 05:09:00,5,0,0,0,0,30,0.0,0.0
OBS00000006,M000120,2026-02-14 17:02:00,17,3,0,0,3,21,0.143,1.0
OBS00000007,M000047,2026-02-12 03:03:00,3,1,0,0,1,11,0.091,1.0
OBS00000008,M000657,2026-01-27 01:50:00,1,0,0,0,0,13,0.0,0.0
OBS00000009,M000702,2026-02-12 16:58:00,16,1,0,0,1,24,0.042,1.0
OBS00000010,M000254,2026-01-23 09:07:00,9,0,0,0,0,33,0.0,0.0
OBS00000011,M000833,2026-02-04 08:22:00,8,1,0,0,1,11,0.091,1.0
OBS00000012,M000691,2026-02-14 07:19:00,7,15,6,0,21,16,1.0,0.714
OBS00000013,M000725,2026-01-10 05:32:00,5,1,0,0,1,27,0.037,1.0
OBS00000014,M000899,2026-01-16 09:05:00,9,0,0,0,0,13,0.0,0.0
OBS00000015,M000474,2026-01-04 23:10:00,23,1,0,0,1,41,0.024,1.0
OBS00000016,M000768,2026-01-05 01:41:00,1,0,0,0,0,46,0.0,0.0
OBS00000017,M000561,2026-01-06 05:43:00,5,1,0,0,1,21,0.048,1.0
OBS00000018,M000724,2026-02-05 08:38:00,8,1,0,0,1,44,0.023,1.0
OBS00000019,M000724,2026-01-01 00:51:00,0,0,0,0,0,44,0.0,0.0
OBS00000020,M000571,2026-02-01 04:02:00,4,2,0,0,2,37,0.054,1.0
OBS00000021,M000374,2026-02-09 20:20:00,20,2,4,3,9,38,0.237,0.222
OBS00000022,M000001,2026-01-03 11:41:00,11,0,0,0,0,23,0.0,0.0
OBS00000023,M000441,2026-01-26 18:26:00,18,5,3,0,8,46,0.174,0.625
OBS00000024,M000605,2026-01-03 02:39:00,2,0,0,0,0,27,0.0,0.0
